step,time,kinetic,elastic,total,rel_energy_drift,linear_momentum_err,angular_momentum_err
1800,1.8,0.000143844618276,4.99484759979e-05,0.000193793094274,0.0130198754953,7.70500346108e-11,6.54823500014e-07
1900,1.9,0.000171648651291,2.1948702883e-05,0.000193597354174,0.0140167716372,8.24945168453e-11,4.63020758129e-07
2000,2,0.000136635671078,5.69557061632e-05,0.000193591377241,0.0140472119063,7.61955079284e-11,9.32108028126e-07
2100,2.1,0.000178235062999,1.51199825093e-05,0.000193355045509,0.0152508395375,7.36339821651e-11,8.37479243643e-07
2200,2.2,0.000130316391997,6.30712984149e-05,0.000193387690412,0.0150845804099,6.70271478146e-11,1.32636561321e-06
2300,2.3,0.000183793071449,9.32332477354e-06,0.000193116396223,0.0164662703695,7.31483696265e-11,1.23860576529e-06
2400,2.4,0.00012515882868,6.80224610414e-05,0.000193181289721,0.0161357704953,6.57941882934e-11,1.6770400663e-06
2500,2.5,0.000188076506595,4.80604609375e-06,0.000192882552689,0.0176572257073,4.09834211019e-11,1.71053432302e-06
2600,2.6,0.000121371951992,7.1599490547e-05,0.000192971442539,0.0172045134189,6.66280124459e-11,2.12778116243e-06
2700,2.7,0.000190905684572,1.74798840134e-06,0.000192653672974,0.0188229005257,4.34456554227e-11,2.20339466143e-06
2800,2.8,0.000119110339909,7.36476266845e-05,0.000192757966594,0.0182917374809,3.73367439954e-11,2.53978890078e-06
2900,2.9,0.000192156145893,2.74418395621e-07,0.000192430564289,0.0199591837276,4.9398601354e-11,2.74491838544e-06
3000,3,0.000118456710439,7.40838381649e-05,0.000192540548604,0.0193990382101,3.07986346849e-11,3.03575164245e-06
3100,3.1,0.00019177793615,4.35068718588e-07,0.000192213004868,0.0210672047577,2.97711314125e-11,3.31151086284e-06
3200,3.2,0.000119426413956,7.28926606296e-05,0.000192319074586,0.0205269961206,5.08769846731e-11,3.50001233316e-06
3300,3.3,0.000189790153113,2.21107067945e-06,0.000192001223793,0.0221457969181,2.32590162311e-11,3.89843192875e-06
3400,3.4,0.000121965041975,7.01289487744e-05,0.00019209399075,0.0216733386866,4.59848170387e-11,4.037219368e-06
3500,3.5,0.000186282922908,5.51175052364e-06,0.000191794673432,0.0231977492692,7.13659286058e-11,4.50996956367e-06
3600,3.6,0.000125950590045,6.59145650466e-05,0.000191865155092,0.0228387891229,9.02545424948e-11,4.53851193776e-06
3700,3.7,0.000181415839702,1.01771185223e-05,0.000191592958225,0.0242250763831,6.98359391502e-11,5.11229872016e-06
3800,3.8,0.000131196793346,6.04368819341e-05,0.00019163367528,0.024017706123,7.82903888603e-11,5.11168171241e-06
3900,3.9,0.000175399589064,1.59957133956e-05,0.000191395302459,0.0252317289284,1.17167969783e-10,5.73877459254e-06
4000,4,0.000137464717638,5.39347968894e-05,0.000191399514527,0.0252102770439,1.02331050977e-10,5.63740191549e-06
4100,4.1,0.000168505245436,2.26955981146e-05,0.00019120084355,0.0262221000198,1.02887651973e-10,6.33322762478e-06
4200,4.2,0.000144466596302,4.66976631153e-05,0.000191164259418,0.0264084214784,1.18788365583e-10,6.23620541274e-06
4300,4.3,0.000161030466918,2.99783182915e-05,0.00019100878521,0.0272002451169,1.21144328417e-10,6.94343606185e-06
4400,4.4,0.000151890384958,3.90376398254e-05,0.000190928024783,0.02761155459,1.08209746093e-10,6.77599184155e-06
4500,4.5,0.000153310133397,3.75077301712e-05,0.000190817863568,0.0281726010508,8.42120165418e-11,7.50997053275e-06
4600,4.6,0.000159395849539,3.12967541993e-05,0.000190692603739,0.0288105441255,1.0609662053e-10,7.38326291796e-06
4700,4.7,0.000145678634551,4.49488690323e-05,0.000190627503584,0.0291420964922,1.10994901095e-10,8.08133517217e-06
4800,4.8,0.000166650624013,2.38076769003e-05,0.000190458300914,0.0300038386145,9.13121246058e-11,7.92511360614e-06
4900,4.9,0.000138473234169,5.19630523775e-05,0.000190436286547,0.0301159568637,1.01041631957e-10,8.60408342981e-06
5000,5,0.000173321111421,1.69056618096e-05,0.000190226773231,0.0311829994211,7.04838567666e-11,8.51776112519e-06
5100,5.1,0.000132006068589,5.82377759027e-05,0.000190243844492,0.0310960562007,1.0173225465e-10,9.12268410542e-06
